citing	cited	token	count	lines
STATE.md	docs/MERGE_V3_BAND_VALIDATION.md	docs/MERGE_V3_BAND_VALIDATION.md	1	254
STATE.md	docs/NIKHEF_DISK_INVENTORY.md	docs/NIKHEF_DISK_INVENTORY.md	1	258
STATE.md	docs/OWNER_DECISIONS_OPEN.md	docs/OWNER_DECISIONS_OPEN.md	1	66
STATE.md	docs/PLOTTING_V3_DELTA.md	docs/PLOTTING_V3_DELTA.md	1	320
STATE.md	docs/REPO_FILE_CENSUS.md	docs/REPO_FILE_CENSUS.md	1	377
STATE.md	docs/SCRATCH_RECONCILIATION.md	docs/SCRATCH_RECONCILIATION.md	1	295
STATE.md	docs/history/studies/Balancing_and_Sampling/ATTENTION.txt	ATTENTION.txt	1	377
analysis/Analysis_README.md	analysis/status_analysis_qq.C	status_analysis_qq.C	1	389
analysis/Analysis_README.md	attic/split_chain/bb_mult_pt_analysis_multi.C	bb_mult_pt_analysis_multi.C	1	387
analysis/Analysis_README.md	attic/split_chain/cc_mult_pt_analysis_multi.C	cc_mult_pt_analysis_multi.C	1	388
analysis/Analysis_README.md	attic/split_chain/status_analysis_bb.C	status_analysis_bb.C	1	389
analysis/Analysis_README.md	attic/split_chain/status_analysis_cc.C	status_analysis_cc.C	1	389
config/dataset_selector.json	docs/history/CAMPAIGN_SEAL_SESSION_20260817c.md	docs/history/CAMPAIGN_SEAL_SESSION_20260817c.md	1	48
config/dataset_selector_hf_run3_v1.json	docs/history/CAMPAIGN_SEAL_SESSION_20260817c.md	docs/history/CAMPAIGN_SEAL_SESSION_20260817c.md	1	21
docs/A9_PAPER_TABLE_REGENERATION.md	Paper/Tables/generated_heavy_flavor_summary.tex	Paper/Tables/generated_heavy_flavor_summary.tex	2	11,78
docs/A9_PAPER_TABLE_REGENERATION.md	attic/count_events/CountEvents/generated_heavy_flavor_summary.C	attic/count_events/CountEvents/generated_heavy_flavor_summary.C	1	21
docs/B_BARYON_ADVISORY_DIAGNOSTIC.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	3	8,15,95
docs/CLOSURE_V3_PREREGISTRATION.md	docs/history/handoffs/HANDOFF_20260809_v31.md	HANDOFF_20260809_v31.md	1	89
docs/COMPONENTS.md	POST_SUBMISSION.md	POST_SUBMISSION.md	4	223,275,498,523
docs/COMPONENTS.md	Paper/Tables/generated_heavy_flavor_summary.tex	Paper/Tables/generated_heavy_flavor_summary.tex	2	495,524
docs/COMPONENTS.md	RENAMES.md	RENAMES.md	4	6,339,530,652
docs/COMPONENTS.md	ValidationReports/PREPRODUCTION_GATE_REPORT_20260730.md	ValidationReports/PREPRODUCTION_GATE_REPORT_20260730.md	1	570
docs/COMPONENTS.md	analysis/status_analysis_qq.C	analysis/status_analysis_qq.C	2	100,522
docs/COMPONENTS.md	attic/count_events/CountEvents/generated_heavy_flavor_summary.C	attic/count_events/CountEvents/generated_heavy_flavor_summary.C	1	493
docs/COMPONENTS.md	attic/count_events/CountEvents/generated_heavy_flavor_summary.C	generated_heavy_flavor_summary.C	1	524
docs/COMPONENTS.md	attic/plotting/B_Balancing_GeneralPlotting.C	attic/plotting/B_Balancing_GeneralPlotting.C	1	500
docs/COMPONENTS.md	attic/plotting/improvedPlotting.C	attic/plotting/improvedPlotting.C	1	497
docs/COMPONENTS.md	attic/plotting/plotting_documentation.md	attic/plotting/plotting_documentation.md	2	506,525
docs/COMPONENTS.md	attic/split_chain/qq_draw_2D_correlations.C	qq_draw_2D_correlations.C	2	102,522
docs/COMPONENTS.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	3	94,137,411
docs/COMPONENTS.md	docs/MERGED_CONVENTION_TABLES.md	MERGED_CONVENTION_TABLES.md	1	157
docs/COMPONENTS.md	docs/PUBLICATION_EXPORT_EXCLUSIONS.md	docs/PUBLICATION_EXPORT_EXCLUSIONS.md	1	527
docs/COMPONENTS.md	docs/REMOVALS.md	REMOVALS.md	3	6,486,501
docs/COMPONENTS.md	tools/archive_breach_partials.sh	archive_breach_partials.sh	1	389
docs/DESIGN_AND_RATIONALE.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	3	336,678,721
docs/DESIGN_AND_RATIONALE.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	605
docs/EXTRACTION_CONVENTIONS.md	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	32
docs/EXTRACTION_CONVENTIONS.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	6
docs/EXTRACTION_CONVENTIONS.md	docs/MERGED_CONVENTION_TABLES.md	docs/MERGED_CONVENTION_TABLES.md	1	7
docs/FIGURE_INVENTORY.md	attic/plotting/B_Balancing_GeneralPlotting.C	attic/plotting/B_Balancing_GeneralPlotting.C	3	1003,1022,1078
docs/FIGURE_INVENTORY.md	docs/PLOTTING_V3_DELTA.md	docs/PLOTTING_V3_DELTA.md	1	539
docs/FIGURE_INVENTORY.md	docs/REMOVALS.md	REMOVALS.md	1	988
docs/FIGURE_INVENTORY.md	docs/REPO_FILE_CENSUS.md	REPO_FILE_CENSUS.md	1	988
docs/FIGURE_INVENTORY.md	docs/REPO_FILE_CENSUS.md	docs/REPO_FILE_CENSUS.md	1	545
docs/FIGURE_INVENTORY.md	docs/SUPERVISOR_CHANGE_REPORT.md	docs/SUPERVISOR_CHANGE_REPORT.md	1	500
docs/FIGURE_INVENTORY.md	docs/history/studies/Balancing_and_Sampling/ATTENTION.txt	ATTENTION.txt	1	544
docs/GATE_3000.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	1	297
docs/GATE_3000.md	docs/history/handoffs/HANDOFF_20260806_v9.md	HANDOFF_20260806_v9.md	1	24
docs/GATE_3000.md	docs/history/handoffs/HANDOFF_20260809_v28.md	HANDOFF_20260809_v28.md	1	67
docs/GOLDEN_OUTPUTS.md	AnalysisScripts/decay_parent_map_v1.json	AnalysisScripts/decay_parent_map_v1.json	1	1054
docs/GOLDEN_OUTPUTS.md	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	2	189,1128
docs/GOLDEN_OUTPUTS.md	RENAMES.md	RENAMES.md	1	997
docs/GOLDEN_OUTPUTS.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	3	194,760,885
docs/GOLDEN_OUTPUTS.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	271
docs/GOLDEN_OUTPUTS.md	docs/MERGED_CONVENTION_TABLES.md	MERGED_CONVENTION_TABLES.md	3	34,608,760
docs/GOLDEN_OUTPUTS.md	docs/MERGED_CONVENTION_TABLES.md	docs/MERGED_CONVENTION_TABLES.md	1	322
docs/GOLDEN_OUTPUTS.md	docs/MERGE_CHECKLIST.md	MERGE_CHECKLIST.md	1	1750
docs/GOLDEN_OUTPUTS.md	docs/MERGE_V3_BAND_VALIDATION.md	docs/MERGE_V3_BAND_VALIDATION.md	1	1032
docs/GOLDEN_OUTPUTS.md	docs/NIKHEF_DISK_INVENTORY.md	docs/NIKHEF_DISK_INVENTORY.md	1	984
docs/GOLDEN_OUTPUTS.md	docs/PHASE4_SUBMISSION_CHECKLIST.md	docs/PHASE4_SUBMISSION_CHECKLIST.md	1	974
docs/GOLDEN_OUTPUTS.md	docs/RESTRUCTURE_PLAN.md	RESTRUCTURE_PLAN.md	1	574
docs/GOLDEN_OUTPUTS.md	docs/RESTRUCTURE_PLAN.md	docs/RESTRUCTURE_PLAN.md	3	148,1078,1184
docs/GOLDEN_OUTPUTS.md	docs/campaigns/HF_RUN3_V1_PARTIALS_ARCHIVE.md	docs/campaigns/HF_RUN3_V1_PARTIALS_ARCHIVE.md	1	979
docs/GOLDEN_OUTPUTS.md	docs/history/handoffs/HANDOFF_20260812_prep_v3.md	HANDOFF_20260812_prep_v3.md	1	598
docs/M7_BEAUTY_PREREGISTRATION.md	docs/history/handoffs/HANDOFF_20260810_v40_GENERATIONAL.md	HANDOFF_20260810_v40_GENERATIONAL.md	1	7
docs/M7_BEAUTY_UNRESOLVED_SYSTEMATIC.md	docs/history/handoffs/HANDOFF_20260810_v40_GENERATIONAL.md	HANDOFF_20260810_v40_GENERATIONAL.md	1	34
docs/MAP_V1_CONJUGATION_BUG.md	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	25
docs/MAP_V2_PREREGISTRATION.md	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	18
docs/MONASH_CENTRAL_TABLE.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	3	3,180,231
docs/MONASH_CENTRAL_TABLE.md	docs/MERGED_CONVENTION_TABLES.md	MERGED_CONVENTION_TABLES.md	1	308
docs/MONASH_CENTRAL_TABLE.md	docs/MERGED_CONVENTION_TABLES.md	docs/MERGED_CONVENTION_TABLES.md	1	12
docs/PER_TUNE_PROCESSING_PREREGISTRATION.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	113
docs/PER_TUNE_PROCESSING_PREREGISTRATION.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	2	19,107
docs/PROGRESS_PROBE_METHOD.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	233
docs/REGISTRY_AND_MAPPING_PROPOSAL.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	2	10,583
docs/SECOND_BRANCH_WEIGHT.md	AnalysisScripts/decay_parent_map_v1.json	AnalysisScripts/decay_parent_map_v1.json	1	153
docs/SECOND_BRANCH_WEIGHT.md	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	104
docs/SECOND_BRANCH_WEIGHT.md	docs/history/handoffs/HANDOFF_20260810_v40_GENERATIONAL.md	HANDOFF_20260810_v40_GENERATIONAL.md	1	7
docs/SIGMA_B_ORDERING_AND_ADJUDICATION.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	40
docs/SIGMA_B_ORDERING_AND_ADJUDICATION.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	5
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	docs/MERGE_CHECKLIST.md	docs/MERGE_CHECKLIST.md	1	1116
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	docs/MERGE_V3_BAND_VALIDATION.md	docs/MERGE_V3_BAND_VALIDATION.md	2	384,3122
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	docs/NIKHEF_CLEANUP_PLAN.md	NIKHEF_CLEANUP_PLAN.md	1	2525
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	docs/NIKHEF_CLEANUP_PLAN.md	docs/NIKHEF_CLEANUP_PLAN.md	1	2525
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	docs/PUBLICATION_EXPORT_EXCLUSIONS.md	docs/PUBLICATION_EXPORT_EXCLUSIONS.md	1	1104
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	docs/REPO_FILE_CENSUS.md	REPO_FILE_CENSUS.md	1	1535
docs/SYSTEMATICS_HARVEST_RUN_RECORD.md	tools/prose_check.py	tools/prose_check.py	1	1112
docs/SYSTEMATICS_PREREGISTRATION.md	RENAMES.md	RENAMES.md	1	743
docs/SYSTEMATICS_PREREGISTRATION.md	docs/NIKHEF_DISK_INVENTORY.md	docs/NIKHEF_DISK_INVENTORY.md	1	785
docs/THREE_TUNE_CENTRAL_TABLE.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	278
docs/THREE_TUNE_CENTRAL_TABLE.md	docs/history/MERGE_SUPERVISOR_SESSION_20260814a.md	docs/history/MERGE_SUPERVISOR_SESSION_20260814a.md	1	529
docs/VALIDATION_INVENTORY.md	docs/NIKHEF_BRINGUP.md	NIKHEF_BRINGUP.md	1	50
docs/WORKSPACE.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	1	136
docs/WORKSPACE.md	docs/history/studies/Batching_MONASH.sh	Batching_MONASH.sh	1	183
docs/campaigns/HF_RUN3_V1_RECORD.md	POST_SUBMISSION.md	POST_SUBMISSION.md	1	836
docs/campaigns/HF_RUN3_V1_RECORD.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	1	345
extraction/compare_subset_parent.py	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	9
extraction/extract_species_decomposition.py	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	341
extraction/extract_species_decomposition.py	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	342
extraction/extract_species_decomposition.py	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	161
extraction/second_branch_weight.py	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	104
generation/Simulation_README.md	attic/split_chain/qqbarcorrelations_status.cpp	qqbarcorrelations_status.cpp	1	354
generation/Simulation_README.md	docs/history/studies/Batching_MONASH.sh	Batching_MONASH.sh	1	357
generation/producer/Makefile	RENAMES.md	RENAMES.md	1	52
generation/submit/runCondorJob.sh	RENAMES.md	RENAMES.md	1	141
plotting/PAPER_FIGURE_PROVENANCE.md	docs/history/plotting_validation/FINAL_PLOTTING_HANDOFF.md	FINAL_PLOTTING_HANDOFF.md	1	55
plotting/README.md	attic/plotting/B_Balancing_GeneralPlotting.C	attic/plotting/B_Balancing_GeneralPlotting.C	1	527
plotting/README.md	attic/plotting/improvedPlotting.C	attic/plotting/improvedPlotting.C	2	8,526
plotting/README.md	docs/REMOVALS.md	docs/REMOVALS.md	1	534
plotting/README.md	docs/history/plotting_validation/removed_tracked_plot_inventory.txt	removed_tracked_plot_inventory.txt	1	506
plotting/make_hf_run3_v1_three_tune_config.py	docs/history/PLOTTING_B6_AND_V3_RUN_SESSION_20260813k.md	docs/history/PLOTTING_B6_AND_V3_RUN_SESSION_20260813k.md	1	19
tests/test_compare_subset_parent.py	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	5
tests/test_dataset_selector_hf_pt2.py	docs/NIKHEF_CLEANUP_PLAN.md	docs/NIKHEF_CLEANUP_PLAN.md	1	31
tests/test_dataset_selector_requires_a_named_dataset.py	docs/NIKHEF_CLEANUP_PLAN.md	docs/NIKHEF_CLEANUP_PLAN.md	1	3
tests/test_invoked_script_paths_exist.py	docs/NIKHEF_CLEANUP_PLAN.md	docs/NIKHEF_CLEANUP_PLAN.md	1	3
tests/test_measurement_target.py	docs/NIKHEF_CLEANUP_PLAN.md	docs/NIKHEF_CLEANUP_PLAN.md	1	71
tests/test_pair_contract_schema_prefix.py	docs/PLOTTING_V3_DELTA.md	docs/PLOTTING_V3_DELTA.md	1	18
tests/test_three_tune_plot_config.py	docs/history/PLOTTING_B6_AND_V3_RUN_SESSION_20260813k.md	docs/history/PLOTTING_B6_AND_V3_RUN_SESSION_20260813k.md	1	14
tools/anchor_width_control.py	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	4
tools/build_decay_parent_map.py	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	35
