path,class,what,why,refs,entrypoint,voice,dead,grouped
AnalysisScripts/anchors/closure_v3_verdicts/verdict_line_CLOSEPACKING.txt,PUBLIC,"The single extracted CLOSEPACKING verdict line, separated from its log.",Same role for the third tune.,1,,clean,n/a,
AnalysisScripts/anchors/closure_v3_verdicts/verdict_line_JUNCTIONS.txt,PUBLIC,"The single extracted JUNCTIONS verdict line, separated from its log.",It is the quotable form of the gate result the central table cites.,1,,clean,n/a,
AnalysisScripts/anchors/e5fix_drivers/MANIFEST.md,PUBLIC,The manifest of the drivers that produced the JUNCTIONS and CLOSEPACKING columns and the MONASH E5 re-extraction.,"It names the exact invocation behind published columns, which the tracked extractor alone does not record.",20,,needs-rewrite,n/a,
AnalysisScripts/anchors/e5fix_drivers/run_blocks.sh,PUBLIC,The driver that ran the deduplicating extractor over all ten canonical blocks of one tune.,It is the recorded invocation behind the committed per-block tables.,1,,needs-rewrite,no,
AnalysisScripts/anchors/e5fix_drivers/run_extract.sh,PUBLIC,The driver that ran the deduplicating extractor over one tune's central merged directory.,Same reason: the central column's invocation is part of its provenance.,5,,needs-rewrite,no,
AnalysisScripts/anchors/e5fix_drivers/run_three_tune.sh,PUBLIC,The driver that assembled the three-tune table from the per-tune extractions.,"It is how the published table was generated, and the table is the resubmission's central number.",1,,needs-rewrite,no,
AnalysisScripts/anchors/e5fix_drivers/verify_e5.py,PUBLIC,The check that the deduplicated extraction reproduces the predicted E5 totals rather than merely differing from the replicated one.,It is the positive check that turned the E5 correction from an assertion into a measurement.,3,,clean,no,
AnalysisScripts/anchors/extraction_dual/MANIFEST.md,PUBLIC,"The manifest of the first anchor extraction, carrying the quarantine notice that forbids its weights for charge-resolved use.","The quarantine is a correctness warning attached to numbers that several published documents were computed from, so it travels with them.",20,,needs-rewrite,n/a,
AnalysisScripts/anchors/extraction_dual/per_category.csv,PUBLIC,The per-category weights of the quarantined first anchor extraction.,It is the category-level half of the anchor whose defect the published E4 comparison reports.,11,,clean,n/a,
AnalysisScripts/anchors/extraction_dual/per_observable.csv,PUBLIC,The per-observable weights of the quarantined first anchor extraction.,It completes the anchor that decay-map v2 weighting and the E4 comparison both read.,9,,clean,n/a,
AnalysisScripts/anchors/extraction_dual/per_species.csv,PUBLIC,The per-species weights of the quarantined first anchor extraction.,"README section 3a feeds it to compare_subset_parent.py to reproduce the E4 anchor defect, which is a published finding.",39,,clean,n/a,
AnalysisScripts/anchors/f4_probe/build_run.log,PUBLIC,"The build and run manifest of the extended probe, with the digests of the binary and its inputs.",It is how a reader ties the committed probe output to the code that produced it.,1,,clean,n/a,
AnalysisScripts/anchors/f4_probe/f4_probe_v1.out,PUBLIC,"The original PYTHIA-linked decay probe output: 202 species, dominant channel only.","README section 3a rebuilds decay map v1.1 from this file and checks the digest, which is one of the two headline reproduction checks.",5,,clean,n/a,
AnalysisScripts/anchors/f4_probe/f4b_probe.out,PUBLIC,"The extended decay probe output carrying 5,576 F4_CHANNEL lines, every channel rather than the dominant one.","Decay map v2 rebuilds from it, and its byte-identical F4_SPECIES lines are the evidence that the probe was extended rather than changed.",5,,clean,n/a,
AnalysisScripts/anchors/f4_probe/pdgs.txt,PUBLIC,The list of 202 species codes the decay probe was asked to resolve.,"It is the probe's input, so the map rebuild is not reproducible without it.",2,,clean,n/a,
AnalysisScripts/anchors/m7_blocks/m7_block_01.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_02.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_03.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_04.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_05.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_06.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_07.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_08.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_09.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7_blocks/m7_block_10.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the charm unresolved and resolved baryon and meson counts.,"README section 3a rebuilds the published charm M7 table from these logs with extraction/aggregate_m7.py, so they are the check itself.",3,,clean,n/a,anchors-m7-charm
AnalysisScripts/anchors/m7b_blocks/m7b_block_01.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_02.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_03.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_04.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_05.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_06.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_07.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_08.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_09.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/m7b_blocks/m7b_block_10.log,PUBLIC,One canonical block's MeasureUnresolvedSystematic log carrying the beauty unresolved and resolved baryon and meson counts.,"It is the committed input that regenerates the published beauty M7 table, the same reproducibility claim the charm blocks carry.",2,,clean,n/a,anchors-m7-beauty
AnalysisScripts/anchors/merged_closepacking_dedup/MANIFEST.md,PUBLIC,"The manifest of the CLOSEPACKING deduplicated extraction, recording the run, its inputs and the E5 checks it was made to settle.",It states what the tune's committed tables mean and which prediction they were scored against.,20,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_1/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_1/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_1/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_10/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_10/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_10/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_2/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_2/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_2/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_3/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_3/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_3/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_4/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_4/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_4/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_5/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_5/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_5/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_6/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_6/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_6/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_7/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_7/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_7/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_8/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_8/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_8/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_9/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_9/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/block_9/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/central/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/central/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_closepacking_dedup/central/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/MANIFEST.md,PUBLIC,"The manifest of the JUNCTIONS deduplicated extraction, recording the run, its inputs and the E5 checks it was made to settle.",It states what the tune's committed tables mean and which prediction they were scored against.,20,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_1/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_1/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_1/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_10/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_10/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_10/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_2/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_2/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_2/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_3/per_category.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",11,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_3/per_observable.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",9,,clean,n/a,anchors-dedup-blocks
AnalysisScripts/anchors/merged_junctions_dedup/block_3/per_species.csv,PUBLIC,"One directory's species, category and observable tables from the trigger-deduplicating extraction of one tune, central or one canonical block.","These eleven directories per tune are the measured input behind the final three-tune table, so a reader checks the published number against them.",39,,clean,n/a,anchors-dedup-blocks
